Time,LON,LAT,Eastward wind,Northward wind,Temperature above oceans,Air density above oceans,Max wave height,Swell direction,Wind wave direction,Swell period,Wind wave period,Wave direction,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,Eastward current,Northward current,SOG,COG,Heading,Width,Length,Draught
2021-01-01 00:00:00,14.689663366666668,55.09845203333334,2.2676877975463867,6.741481781005859,277.31103515625,1.2593231201171875,1.8936138153076167,196.8540496826172,196.74966430664065,4.818881034851074,3.818458557128906,196.6100616455078,4.154329299926758,279.8583984375,0.985695481300354,0.5668792128562927,0.805267333984375,100445.5,0.11368979,0.044994045,0.0,358.9,174.0,25.0,158.0,5.0
2021-01-01 01:00:00,14.689658233333336,55.098450666666665,1.7826805114746094,6.410274505615234,277.328369140625,1.2599849700927734,1.752302646636963,200.12277221679688,193.15200805664065,4.755800247192383,3.4702157974243164,196.2092742919922,4.130579948425293,279.8583984375,0.9165254831314088,0.6530609130859375,0.6410064697265625,100439.6875,,,0.0,358.9,174.0,25.0,158.0,5.0
2021-01-01 02:00:00,14.689649037037036,55.09846829629629,1.1546592712402344,6.385134696960449,277.390625,1.260244369506836,1.6197752952575684,202.4983825683593,186.42491149902344,4.645083427429199,3.259681701660156,194.85797119140625,4.083754539489746,279.8583984375,0.8514465689659119,0.6500091552734375,0.5450592041015625,100464.375,,,0.0,358.9,174.0,25.0,158.0,5.0
2021-01-01 03:00:00,14.689646481481482,55.09847111111111,0.3488006591796875,6.094658851623535,277.411376953125,1.260148048400879,1.5187358856201172,203.9569854736328,180.7259216308593,4.588383674621582,3.177906036376953,192.7320709228516,4.010501861572266,279.8583984375,0.7991489768028259,0.6048417687416077,0.51568603515625,100443.625,0.08398378,0.05400039,0.0,358.9,174.0,25.0,158.0,5.0
2021-01-01 04:00:00,14.689643920000002,55.098462,-0.5931282043457031,6.153185844421387,277.4306640625,1.260634422302246,1.455034255981445,208.48629760742188,177.76162719726562,4.528841018676758,3.281654357910156,189.7314300537109,3.9133615493774414,279.8583984375,0.7672854065895081,0.522369384765625,0.5498809814453125,100437.9375,,,0.0,358.9,174.0,25.0,158.0,5.0
2021-01-01 05:00:00,14.689648291666666,55.098455458333326,-1.1400823593139648,6.917303085327148,277.3896484375,1.2607488632202148,1.4496747255325315,216.18487548828125,175.19869995117188,4.456522941589356,3.4205093383789062,185.748291015625,3.809428215026856,279.8583984375,0.765216052532196,0.429046630859375,0.621551513671875,100426.3125,,,0.0,358.8999999999999,174.0,25.0,158.0,5.0
2021-01-01 06:00:00,14.689635607142858,55.098470142857146,-1.2448673248291016,7.608953475952148,277.320556640625,1.2614364624023438,1.51833176612854,220.6243133544922,174.29429626464844,4.351818084716797,3.521644592285156,181.53623962402344,3.737560272216797,279.8583984375,0.7980193495750427,0.3562316298484802,0.7052459716796875,100440.9375,0.048465375,0.099054195,0.0,358.9,174.0,25.0,158.0,5.0
2021-01-01 07:00:00,14.689640664835164,55.098465434065936,-0.9102144241333008,7.986181259155273,277.155517578125,1.261737823486328,1.6231396198272705,212.3095245361328,174.9132080078125,4.303656578063965,3.603797912597656,178.7866668701172,3.731513023376465,279.8583984375,0.8481749892234802,0.3253631591796875,0.7791290283203125,100438.125,,,0.0,358.9,174.0,25.0,158.0,5.0
2021-01-01 08:00:00,14.572800053511706,55.11808990802676,0.1379909515380859,7.647350311279297,276.900390625,1.261916160583496,1.661037802696228,187.44558715820312,178.76182556152344,4.291309356689453,3.6674575805664062,179.40536499023438,3.757862091064453,279.6995849609375,0.8654130697250366,0.3238922357559204,0.8019561767578125,100538.0,,,14.087290969899668,293.2112040133779,266.3545150501672,25.0,158.0,5.0
2021-01-01 09:00:00,14.150895215652174,55.26179882782609,1.0498838424682615,6.617632865905762,276.70556640625,1.2622346878051758,1.5016374588012695,165.58184814453125,185.115234375,4.187211036682129,3.1456069946289062,179.1591033935547,3.803910255432129,279.8203125,0.7856746315956116,0.452439546585083,0.5780487060546875,100602.75,0.08303345,0.062728316,18.14869565217392,302.2744347826087,300.1304347826087,25.0,158.0,5.0
2021-01-01 10:00:00,13.827534065764024,55.399500050290136,0.0076017379760742,4.089465141296387,276.309814453125,1.256281852722168,1.2355284690856934,170.82046508789062,182.2113037109375,4.012717247009277,2.120399475097656,177.6186981201172,3.819602012634277,,0.6546356081962585,0.556524932384491,0.2364349365234375,100173.0625,,,10.077369439071568,163.64429400386848,209.605415860735,25.0,158.0,5.0
2021-01-01 11:00:00,13.844633900249375,55.39366781296758,0.5169153213500977,3.786379814147949,276.39990234375,1.256545066833496,1.2043967247009275,170.4320831298828,188.9681854248047,4.02000904083252,2.09030818939209,177.4171600341797,3.82054615020752,,0.6387822031974792,0.5554049015045166,0.2261810302734375,100184.1875,,,11.430922693266831,131.50648379052367,182.02992518703243,25.0,158.0,5.0
2021-01-01 12:00:00,14.169006119800333,55.24969941098169,2.1514062881469727,5.039320945739746,277.134033203125,1.2628297805786133,1.2759069204330444,173.42344665527344,193.91650390625,4.095174789428711,3.029945373535156,179.71649169921875,3.815267562866211,279.8203125,0.6740806102752686,0.5983734130859375,0.263031005859375,100630.8125,0.08789544,0.03077736,18.1252911813644,126.29251247920132,125.87520798668884,25.0,158.0,5.0
2021-01-01 13:00:00,14.58252415831987,55.10926932956381,2.640032768249512,4.693804740905762,277.248779296875,1.2620525360107422,1.256175518035889,175.85792541503906,209.7375640869141,4.109553337097168,2.2990493774414062,180.7403564453125,3.845271110534668,279.6995849609375,0.6643953323364258,0.61102294921875,0.254058837890625,100555.875,,,13.030533117932148,140.47641357027462,112.90630048465266,25.0,158.0,5.0
2021-01-01 14:00:00,14.689647321937322,55.09845722507123,2.640167236328125,3.999181747436523,277.29638671875,1.2617473602294922,1.217085838317871,175.8926239013672,211.9921264648437,4.077077865600586,2.288490295410156,180.12307739257812,3.858938217163086,279.8583984375,0.644572377204895,0.6038514971733093,0.213348388671875,100496.0625,,,0.0,348.5,174.2934472934473,25.0,158.0,5.0
2021-01-01 15:00:00,14.630046680170576,55.10097797441365,2.687847137451172,3.5304527282714844,277.313232421875,1.2614479064941406,1.126986742019653,175.8716583251953,213.37530517578125,4.0320234298706055,2.227210998535156,180.44859313964844,3.8237714767456055,279.8583984375,0.5993446707725525,0.562347412109375,0.19012451171875,100527.0625,0.06401802,0.005087642,9.868017057569295,295.91087420042646,235.82089552238807,25.0,158.0,5.0
2021-01-01 16:00:00,14.235177736462092,55.18085657581228,3.051608085632324,3.5424461364746094,277.391845703125,1.261124610900879,0.9708003997802734,175.4521026611328,223.181381225586,3.910659790039064,2.7569351196289062,182.5848846435547,3.6641998291015625,279.8203125,0.5191748142242432,0.47283935546875,0.17559814453125,100662.625,,,18.335559566787,288.23104693140795,285.7274368231047,25.0,158.0,5.0
2021-01-01 17:00:00,13.817008494296578,55.22528520532319,3.526662826538086,2.946798324584961,277.04833984375,1.2625131607055664,0.9067690968513488,172.89939880371094,245.3487701416016,3.737759590148926,2.868324279785156,190.1995086669922,3.430874824523926,279.7103271484375,0.4884608387947082,0.4075717031955719,0.2156829833984375,100627.6875,,,18.221673003802284,274.62433460076045,272.1102661596958,25.0,158.0,5.0
2021-01-01 18:00:00,13.165546753246751,55.25118787569573,3.865514755249024,2.0564537048339844,276.544921875,1.2632732391357422,0.8787195682525635,180.63340759277344,247.7422637939453,3.547224998474121,2.4367074966430664,207.00994873046875,3.144148826599121,279.5069580078125,0.4761784076690674,0.3584291338920593,0.2970428466796875,100630.0,0.06761564,-0.04330415,18.21317254174397,273.68831168831167,271.6233766233766,25.0,158.0,5.0
2021-01-01 19:00:00,12.69409795024077,55.31079836276084,1.979595184326172,0.7443227767944336,275.54296875,,,,,,,,,,,,,100653.3125,,,17.150722311396468,298.13723916532905,296.0016051364366,25.0,158.0,5.0
2021-01-01 20:00:00,12.306055598425196,55.44784444409449,1.21307373046875,0.6046504974365234,274.836181640625,1.2677011489868164,,,,,,,,277.831787109375,,,,100523.25,,,11.929448818897637,268.56047244094486,251.5511811023622,25.0,158.0,5.0
2021-01-01 21:00:00,12.196949751445086,55.45558179190752,1.0656185150146484,0.5554590225219727,274.617919921875,1.2685461044311523,,,,,,,,277.831787109375,,,,100562.0,,,0.0,291.2,110.0,25.0,158.0,5.0
2021-01-01 22:00:00,12.19810807486631,55.45569843850268,1.2733821868896484,0.5047512054443359,274.84375,1.2677202224731443,,,,,,,,278.322509765625,,,,100571.0625,,,1.420855614973262,258.9451871657754,105.072192513369,25.0,158.0,5.0
